店舗ID,店舗名,部門ID,部門名,日付,売上金額,客数,個数
S001,東京本店,D003,菓子,2025-01-03,170700,118,314
S001,東京本店,D004,日用品,2025-01-03,132760,106,245
S001,東京本店,D005,衣類,2025-01-03,156968,100,259
S001,東京本店,D006,化粧品,2025-01-03,125055,102,283
S001,東京本店,D007,文具,2025-01-03,126613,63,301
S001,東京本店,D008,家電,2025-01-03,196118,93,338
S001,東京本店,D009,玩具,2025-01-03,145627,94,263
S001,東京本店,D010,雑貨,2025-01-03,179126,80,368
S002,大阪支店,D001,食品,2025-01-03,184788,94,270
S002,大阪支店,D002,飲料,2025-01-03,300956,120,384
S002,大阪支店,D003,菓子,2025-01-03,205914,117,385
S002,大阪支店,D004,日用品,2025-01-03,159586,97,263
S002,大阪支店,D005,衣類,2025-01-03,156999,116,365
S002,大阪支店,D006,化粧品,2025-01-03,165583,97,287
S002,大阪支店,D007,文具,2025-01-03,167557,94,261
S002,大阪支店,D008,家電,2025-01-03,170067,65,322
S002,大阪支店,D009,玩具,2025-01-03,133658,117,241
S002,大阪支店,D010,雑貨,2025-01-03,203249,77,411
S003,名古屋支店,D001,食品,2025-01-03,178540,115,339
S003,名古屋支店,D002,飲料,2025-01-03,139282,80,372
S003,名古屋支店,D003,菓子,2025-01-03,134454,104,351
S003,名古屋支店,D004,日用品,2025-01-03,146287,97,252
S003,名古屋支店,D005,衣類,2025-01-03,198411,114,337
S003,名古屋支店,D006,化粧品,2025-01-03,141677,56,285
S003,名古屋支店,D007,文具,2025-01-03,170995,100,322
S003,名古屋支店,D008,家電,2025-01-03,157002,105,304
S003,名古屋支店,D009,玩具,2025-01-03,180353,97,311
S003,名古屋支店,D010,雑貨,2025-01-03,242826,106,351
S004,福岡支店,D001,食品,2025-01-03,131479,80,241
S004,福岡支店,D002,飲料,2025-01-03,166961,124,280
S004,福岡支店,D003,菓子,2025-01-03,127480,111,275
S004,福岡支店,D004,日用品,2025-01-03,136683,67,303
S004,福岡支店,D005,衣類,2025-01-03,152546,97,284
S004,福岡支店,D006,化粧品,2025-01-03,113281,81,252
S004,福岡支店,D007,文具,2025-01-03,135138,103,318
S004,福岡支店,D008,家電,2025-01-03,84190,116,273
S004,福岡支店,D009,玩具,2025-01-03,118487,90,217
S004,福岡支店,D010,雑貨,2025-01-03,162989,99,341
S005,札幌支店,D001,食品,2025-01-03,183515,71,297
S005,札幌支店,D002,飲料,2025-01-03,164256,131,372
S005,札幌支店,D003,菓子,2025-01-03,144396,111,306
S005,札幌支店,D004,日用品,2025-01-03,126868,113,323
S005,札幌支店,D005,衣類,2025-01-03,145637,101,307
S005,札幌支店,D006,化粧品,2025-01-03,99565,65,221
S005,札幌支店,D007,文具,2025-01-03,229292,104,285
S005,札幌支店,D008,家電,2025-01-03,185623,119,317
S005,札幌支店,D009,玩具,2025-01-03,107872,113,285
S005,札幌支店,D010,雑貨,2025-01-03,102835,95,238
S001,東京本店,D001,食品,2025-01-04,345047,200,517
S001,東京本店,D002,飲料,2025-01-04,526435,182,599
S001,東京本店,D003,菓子,2025-01-04,329977,134,418
S001,東京本店,D004,日用品,2025-01-04,259770,179,441
S001,東京本店,D005,衣類,2025-01-04,177094,165,410
S001,東京本店,D006,化粧品,2025-01-04,440636,116,542
S001,東京本店,D007,文具,2025-01-04,419914,174,512
S001,東京本店,D008,家電,2025-01-04,334067,158,458
S001,東京本店,D009,玩具,2025-01-04,140765,169,291
S001,東京本店,D010,雑貨,2025-01-04,327423,183,357
S002,大阪支店,D001,食品,2025-01-04,432243,139,509
S002,大阪支店,D002,飲料,2025-01-04,304218,129,374
S002,大阪支店,D003,菓子,2025-01-04,445482,216,537
S002,大阪支店,D004,日用品,2025-01-04,529294,62,541
S002,大阪支店,D005,衣類,2025-01-04,255025,161,473
S002,大阪支店,D006,化粧品,2025-01-04,383493,161,454
S002,大阪支店,D007,文具,2025-01-04,344966,157,461
S002,大阪支店,D008,家電,2025-01-04,467364,159,515
S002,大阪支店,D009,玩具,2025-01-04,328533,203,518
S002,大阪支店,D010,雑貨,2025-01-04,465117,145,568
S003,名古屋支店,D001,食品,2025-01-04,491227,112,472
S003,名古屋支店,D002,飲料,2025-01-04,192569,159,270
S003,名古屋支店,D003,菓子,2025-01-04,230452,124,324
S003,名古屋支店,D004,日用品,2025-01-04,396663,148,462
S003,名古屋支店,D005,衣類,2025-01-04,278356,135,332
S003,名古屋支店,D006,化粧品,2025-01-04,292240,120,375
S003,名古屋支店,D007,文具,2025-01-04,421907,194,469
S003,名古屋支店,D008,家電,2025-01-04,260358,99,430
S003,名古屋支店,D009,玩具,2025-01-04,352341,135,424
S003,名古屋支店,D010,雑貨,2025-01-04,274212,130,373
S004,福岡支店,D001,食品,2025-01-04,429787,202,494
S004,福岡支店,D002,飲料,2025-01-04,369038,146,438
S004,福岡支店,D003,菓子,2025-01-04,332981,108,582
S004,福岡支店,D004,日用品,2025-01-04,356223,152,488
S004,福岡支店,D005,衣類,2025-01-04,346787,148,461
S004,福岡支店,D006,化粧品,2025-01-04,313005,120,472
S004,福岡支店,D007,文具,2025-01-04,550965,92,533
S004,福岡支店,D008,家電,2025-01-04,343852,170,550
S004,福岡支店,D009,玩具,2025-01-04,285091,156,435
S004,福岡支店,D010,雑貨,2025-01-04,479517,131,488
S005,札幌支店,D001,食品,2025-01-04,184326,172,433
S005,札幌支店,D002,飲料,2025-01-04,366585,190,481
S005,札幌支店,D003,菓子,2025-01-04,279747,178,325
S005,札幌支店,D004,日用品,2025-01-04,346084,122,540
S005,札幌支店,D005,衣類,2025-01-04,299774,146,411
S005,札幌支店,D006,化粧品,2025-01-04,492469,137,541
S005,札幌支店,D007,文具,2025-01-04,325642,160,429
S005,札幌支店,D008,家電,2025-01-04,376284,187,554
S005,札幌支店,D009,玩具,2025-01-04,381916,160,578
S005,札幌支店,D010,雑貨,2025-01-04,345860,135,546
S001,東京本店,D001,食品,2025-01-05,406945,87,486
S001,東京本店,D002,飲料,2025-01-05,335432,93,459
S001,東京本店,D003,菓子,2025-01-05,222399,210,354
S001,東京本店,D004,日用品,2025-01-05,307558,172,470
S001,東京本店,D005,衣類,2025-01-05,389087,97,480
S001,東京本店,D006,化粧品,2025-01-05,404442,177,483
S001,東京本店,D007,文具,2025-01-05,381488,151,456
S001,東京本店,D008,家電,2025-01-05,386615,131,475
S001,東京本店,D009,玩具,2025-01-05,348500,130,413
S001,東京本店,D010,雑貨,2025-01-05,413788,223,579
S002,大阪支店,D001,食品,2025-01-05,400273,214,511
S002,大阪支店,D002,飲料,2025-01-05,444178,146,479
S002,大阪支店,D003,菓子,2025-01-05,398613,172,519
S002,大阪支店,D004,日用品,2025-01-05,242441,151,334
S002,大阪支店,D005,衣類,2025-01-05,224478,175,503
S002,大阪支店,D006,化粧品,2025-01-05,290939,167,438
S002,大阪支店,D007,文具,2025-01-05,195660,144,409
S002,大阪支店,D008,家電,2025-01-05,333834,177,481
S002,大阪支店,D009,玩具,2025-01-05,296756,156,404
S002,大阪支店,D010,雑貨,2025-01-05,394477,117,549
S003,名古屋支店,D001,食品,2025-01-05,221790,179,406
S003,名古屋支店,D002,飲料,2025-01-05,169503,172,350
S003,名古屋支店,D003,菓子,2025-01-05,293184,126,409
S003,名古屋支店,D004,日用品,2025-01-05,207675,174,319
S003,名古屋支店,D005,衣類,2025-01-05,222717,116,272
S003,名古屋支店,D006,化粧品,2025-01-05,248883,142,423
S003,名古屋支店,D007,文具,2025-01-05,441886,178,508
S003,名古屋支店,D008,家電,2025-01-05,289230,155,609
S003,名古屋支店,D009,玩具,2025-01-05,428995,118,569
S003,名古屋支店,D010,雑貨,2025-01-05,393113,165,482
S004,福岡支店,D001,食品,2025-01-05,243536,101,452
S004,福岡支店,D002,飲料,2025-01-05,459783,167,505
S004,福岡支店,D003,菓子,2025-01-05,223073,150,353
S004,福岡支店,D004,日用品,2025-01-05,412996,114,534
S004,福岡支店,D005,衣類,2025-01-05,359361,115,518
S004,福岡支店,D006,化粧品,2025-01-05,202673,130,431
S004,福岡支店,D007,文具,2025-01-05,207247,187,435
S004,福岡支店,D008,家電,2025-01-05,425692,165,436
S004,福岡支店,D009,玩具,2025-01-05,280983,131,338
S004,福岡支店,D010,雑貨,2025-01-05,229954,184,373
S005,札幌支店,D001,食品,2025-01-05,445924,156,571
S005,札幌支店,D002,飲料,2025-01-05,413581,164,432
S005,札幌支店,D003,菓子,2025-01-05,300586,128,426
S005,札幌支店,D004,日用品,2025-01-05,314522,168,379
S005,札幌支店,D005,衣類,2025-01-05,302769,138,413
S005,札幌支店,D006,化粧品,2025-01-05,334201,231,549
S005,札幌支店,D007,文具,2025-01-05,471916,192,526
S005,札幌支店,D008,家電,2025-01-05,358645,138,480
S005,札幌支店,D009,玩具,2025-01-05,272498,183,385
S005,札幌支店,D010,雑貨,2025-01-05,259265,152,424
S001,東京本店,D001,食品,2025-01-06,124224,64,340
S001,東京本店,D002,飲料,2025-01-06,140368,81,326
S001,東京本店,D003,菓子,2025-01-06,110321,132,264
S001,東京本店,D004,日用品,2025-01-06,92058,73,250
S001,東京本店,D005,衣類,2025-01-06,185786,103,256
S001,東京本店,D006,化粧品,2025-01-06,144513,104,276
S001,東京本店,D007,文具,2025-01-06,169190,75,319
S001,東京本店,D008,家電,2025-01-06,165228,105,385
S001,東京本店,D009,玩具,2025-01-06,77119,113,237
S001,東京本店,D010,雑貨,2025-01-06,145320,118,336
S002,大阪支店,D001,食品,2025-01-06,183067,91,312
S002,大阪支店,D002,飲料,2025-01-06,147941,98,263
S002,大阪支店,D003,菓子,2025-01-06,159827,87,289
S002,大阪支店,D004,日用品,2025-01-06,210619,83,396
S002,大阪支店,D005,衣類,2025-01-06,202961,92,431
S002,大阪支店,D006,化粧品,2025-01-06,179853,67,332
S002,大阪支店,D007,文具,2025-01-06,148325,126,353
S002,大阪支店,D008,家電,2025-01-06,164081,94,331
S002,大阪支店,D009,玩具,2025-01-06,193381,111,370
S002,大阪支店,D010,雑貨,2025-01-06,89332,96,204
S003,名古屋支店,D001,食品,2025-01-06,184656,104,370
S003,名古屋支店,D002,飲料,2025-01-06,157290,103,312
S003,名古屋支店,D003,菓子,2025-01-06,74168,86,283
S003,名古屋支店,D004,日用品,2025-01-06,107921,97,267
S003,名古屋支店,D005,衣類,2025-01-06,169614,121,281
S003,名古屋支店,D006,化粧品,2025-01-06,112564,112,232
S003,名古屋支店,D007,文具,2025-01-06,127189,104,340
S003,名古屋支店,D008,家電,2025-01-06,107467,93,294
S003,名古屋支店,D009,玩具,2025-01-06,195449,88,326
S003,名古屋支店,D010,雑貨,2025-01-06,121069,94,305
S004,福岡支店,D001,食品,2025-01-06,55510,93,185
S004,福岡支店,D002,飲料,2025-01-06,130226,81,256
S004,福岡支店,D003,菓子,2025-01-06,189185,130,376
S004,福岡支店,D004,日用品,2025-01-06,174376,95,309
S004,福岡支店,D005,衣類,2025-01-06,70910,97,173
S004,福岡支店,D006,化粧品,2025-01-06,104921,79,275
S004,福岡支店,D007,文具,2025-01-06,119476,113,264
S004,福岡支店,D008,家電,2025-01-06,146610,130,312
S004,福岡支店,D009,玩具,2025-01-06,189798,109,374
S004,福岡支店,D010,雑貨,2025-01-06,208005,85,310
S005,札幌支店,D001,食品,2025-01-06,81260,122,173
S005,札幌支店,D002,飲料,2025-01-06,179399,123,299
S005,札幌支店,D003,菓子,2025-01-06,120585,91,264
S005,札幌支店,D004,日用品,2025-01-06,102598,145,282
S005,札幌支店,D005,衣類,2025-01-06,183160,89,374
S005,札幌支店,D006,化粧品,2025-01-06,125928,104,259
S005,札幌支店,D007,文具,2025-01-06,138051,91,283
S005,札幌支店,D008,家電,2025-01-06,107142,107,225
S005,札幌支店,D009,玩具,2025-01-06,149386,115,310
S005,札幌支店,D010,雑貨,2025-01-06,120108,165,276
S001,東京本店,D001,食品,2025-01-07,181759,89,337
S001,東京本店,D002,飲料,2025-01-07,130845,100,316
S001,東京本店,D003,菓子,2025-01-07,118005,103,230
S001,東京本店,D004,日用品,2025-01-07,174261,139,286
S001,東京本店,D005,衣類,2025-01-07,86354,103,223
S001,東京本店,D006,化粧品,2025-01-07,136901,76,279
S001,東京本店,D007,文具,2025-01-07,106617,91,258
S001,東京本店,D008,家電,2025-01-07,152068,125,335
S001,東京本店,D009,玩具,2025-01-07,162920,63,270
S001,東京本店,D010,雑貨,2025-01-07,115410,95,257
S002,大阪支店,D001,食品,2025-01-07,199075,120,332
S002,大阪支店,D002,飲料,2025-01-07,100857,59,152
S002,大阪支店,D003,菓子,2025-01-07,142589,80,292
S002,大阪支店,D004,日用品,2025-01-07,122274,113,285
S002,大阪支店,D005,衣類,2025-01-07,170820,112,412
S002,大阪支店,D006,化粧品,2025-01-07,137286,109,266
S002,大阪支店,D007,文具,2025-01-07,192946,108,383
S002,大阪支店,D008,家電,2025-01-07,187921,94,310
S002,大阪支店,D009,玩具,2025-01-07,185966,113,328
S002,大阪支店,D010,雑貨,2025-01-07,148335,122,307
S003,名古屋支店,D001,食品,2025-01-07,196231,70,330
S003,名古屋支店,D002,飲料,2025-01-07,220475,133,356
S003,名古屋支店,D003,菓子,2025-01-07,168172,77,263
S003,名古屋支店,D004,日用品,2025-01-07,98578,113,266
S003,名古屋支店,D005,衣類,2025-01-07,122353,94,258
S003,名古屋支店,D006,化粧品,2025-01-07,149035,96,270
S003,名古屋支店,D007,文具,2025-01-07,77896,129,150
S003,名古屋支店,D008,家電,2025-01-07,128037,106,226
S003,名古屋支店,D009,玩具,2025-01-07,109385,95,318
S003,名古屋支店,D010,雑貨,2025-01-07,138261,103,334
S004,福岡支店,D001,食品,2025-01-07,129083,79,200
S004,福岡支店,D002,飲料,2025-01-07,193849,88,341
S004,福岡支店,D003,菓子,2025-01-07,140479,104,326
S004,福岡支店,D004,日用品,2025-01-07,110622,100,256
S004,福岡支店,D005,衣類,2025-01-07,162506,79,257
S004,福岡支店,D006,化粧品,2025-01-07,130588,103,194
S004,福岡支店,D007,文具,2025-01-07,188988,121,259
S004,福岡支店,D008,家電,2025-01-07,137732,87,262
S004,福岡支店,D009,玩具,2025-01-07,86300,103,258
S004,福岡支店,D010,雑貨,2025-01-07,146990,91,313
S005,札幌支店,D001,食品,2025-01-07,160463,91,340
S005,札幌支店,D002,飲料,2025-01-07,190041,91,352
S005,札幌支店,D003,菓子,2025-01-07,183591,106,346
S005,札幌支店,D004,日用品,2025-01-07,153512,93,284
S005,札幌支店,D005,衣類,2025-01-07,225447,94,356
S005,札幌支店,D006,化粧品,2025-01-07,157122,80,286
S005,札幌支店,D007,文具,2025-01-07,159315,129,295
S005,札幌支店,D008,家電,2025-01-07,177098,104,407
S005,札幌支店,D009,玩具,2025-01-07,112053,104,232
S005,札幌支店,D010,雑貨,2025-01-07,142217,92,340
S001,東京本店,D001,食品,2025-01-08,135310,96,306
S001,東京本店,D002,飲料,2025-01-08,164763,90,278
S001,東京本店,D003,菓子,2025-01-08,118827,125,308
S001,東京本店,D004,日用品,2025-01-08,116833,117,252
S001,東京本店,D005,衣類,2025-01-08,91899,110,268
S001,東京本店,D006,化粧品,2025-01-08,171671,121,339
S001,東京本店,D007,文具,2025-01-08,120280,46,303
S001,東京本店,D008,家電,2025-01-08,142720,105,259
S001,東京本店,D009,玩具,2025-01-08,155782,123,289
S001,東京本店,D010,雑貨,2025-01-08,194256,124,305
S002,大阪支店,D001,食品,2025-01-08,138743,112,296
S002,大阪支店,D002,飲料,2025-01-08,181814,93,290
S002,大阪支店,D003,菓子,2025-01-08,132915,97,234
S002,大阪支店,D004,日用品,2025-01-08,100430,126,219
S002,大阪支店,D005,衣類,2025-01-08,128792,98,289
S002,大阪支店,D006,化粧品,2025-01-08,109828,82,318
S002,大阪支店,D007,文具,2025-01-08,123503,128,316
S002,大阪支店,D008,家電,2025-01-08,130378,74,263
S002,大阪支店,D009,玩具,2025-01-08,122613,82,237
S002,大阪支店,D010,雑貨,2025-01-08,118825,107,297
S003,名古屋支店,D001,食品,2025-01-08,104578,92,241
S003,名古屋支店,D002,飲料,2025-01-08,175014,91,325
S003,名古屋支店,D003,菓子,2025-01-08,185719,120,338
S003,名古屋支店,D004,日用品,2025-01-08,103841,91,280
S003,名古屋支店,D005,衣類,2025-01-08,135991,109,370
S003,名古屋支店,D006,化粧品,2025-01-08,130625,96,251
S003,名古屋支店,D007,文具,2025-01-08,167492,100,255
S003,名古屋支店,D008,家電,2025-01-08,179229,81,273
S003,名古屋支店,D009,玩具,2025-01-08,170021,99,316
S003,名古屋支店,D010,雑貨,2025-01-08,112048,123,267
S004,福岡支店,D001,食品,2025-01-08,173126,106,282
S004,福岡支店,D002,飲料,2025-01-08,119986,113,250
S004,福岡支店,D003,菓子,2025-01-08,152686,121,310
S004,福岡支店,D004,日用品,2025-01-08,94880,78,347
S004,福岡支店,D005,衣類,2025-01-08,231568,96,344
S004,福岡支店,D006,化粧品,2025-01-08,134761,100,256
S004,福岡支店,D007,文具,2025-01-08,138093,128,310
S004,福岡支店,D008,家電,2025-01-08,169803,115,298
S004,福岡支店,D009,玩具,2025-01-08,157799,81,369
S004,福岡支店,D010,雑貨,2025-01-08,128114,73,326
S005,札幌支店,D001,食品,2025-01-08,177911,81,281
S005,札幌支店,D002,飲料,2025-01-08,171165,92,324
S005,札幌支店,D003,菓子,2025-01-08,171330,99,299
S005,札幌支店,D004,日用品,2025-01-08,220244,97,374
S005,札幌支店,D005,衣類,2025-01-08,232693,115,322
S005,札幌支店,D006,化粧品,2025-01-08,97178,110,282
S005,札幌支店,D007,文具,2025-01-08,100262,89,246
S005,札幌支店,D008,家電,2025-01-08,146928,89,298
S005,札幌支店,D009,玩具,2025-01-08,148071,92,391
S005,札幌支店,D010,雑貨,2025-01-08,165039,116,285
S001,東京本店,D001,食品,2025-01-09,204669,103,363
S001,東京本店,D002,飲料,2025-01-09,84119,101,214
S001,東京本店,D003,菓子,2025-01-09,86952,114,299
S001,東京本店,D004,日用品,2025-01-09,150243,108,344
S001,東京本店,D005,衣類,2025-01-09,155962,118,344
S001,東京本店,D006,化粧品,2025-01-09,90090,84,236
S001,東京本店,D007,文具,2025-01-09,138282,91,331
S001,東京本店,D008,家電,2025-01-09,174792,112,300
S001,東京本店,D009,玩具,2025-01-09,188879,67,366
S001,東京本店,D010,雑貨,2025-01-09,182424,100,338
S002,大阪支店,D001,食品,2025-01-09,162050,78,322
S002,大阪支店,D002,飲料,2025-01-09,124811,125,243
S002,大阪支店,D003,菓子,2025-01-09,125116,106,317
S002,大阪支店,D004,日用品,2025-01-09,184367,76,277
S002,大阪支店,D005,衣類,2025-01-09,95966,55,364
S002,大阪支店,D006,化粧品,2025-01-09,250007,91,352
S002,大阪支店,D007,文具,2025-01-09,157980,82,342
S002,大阪支店,D008,家電,2025-01-09,192524,106,358
S002,大阪支店,D009,玩具,2025-01-09,199909,76,353
S002,大阪支店,D010,雑貨,2025-01-09,72821,137,259
S003,名古屋支店,D001,食品,2025-01-09,169207,90,328
S003,名古屋支店,D002,飲料,2025-01-09,154141,58,276
S003,名古屋支店,D003,菓子,2025-01-09,93357,106,203
S003,名古屋支店,D004,日用品,2025-01-09,153651,63,327
S003,名古屋支店,D005,衣類,2025-01-09,188429,86,332
S003,名古屋支店,D006,化粧品,2025-01-09,121134,80,238
S003,名古屋支店,D007,文具,2025-01-09,140914,131,302
S003,名古屋支店,D008,家電,2025-01-09,84467,128,321
S003,名古屋支店,D009,玩具,2025-01-09,148513,74,277
S003,名古屋支店,D010,雑貨,2025-01-09,156298,80,311
S004,福岡支店,D001,食品,2025-01-09,209078,108,335
S004,福岡支店,D002,飲料,2025-01-09,158686,97,308
S004,福岡支店,D003,菓子,2025-01-09,99901,103,296
S004,福岡支店,D004,日用品,2025-01-09,125945,104,324
S004,福岡支店,D005,衣類,2025-01-09,171560,98,291
S004,福岡支店,D006,化粧品,2025-01-09,160346,137,306
S004,福岡支店,D007,文具,2025-01-09,178194,107,306
S004,福岡支店,D008,家電,2025-01-09,188481,91,319
S004,福岡支店,D009,玩具,2025-01-09,143835,112,368
S004,福岡支店,D010,雑貨,2025-01-09,153495,144,285
S005,札幌支店,D001,食品,2025-01-09,141330,107,273
S005,札幌支店,D002,飲料,2025-01-09,105317,86,238
S005,札幌支店,D003,菓子,2025-01-09,163711,111,336
S005,札幌支店,D004,日用品,2025-01-09,89981,74,212
S005,札幌支店,D005,衣類,2025-01-09,154597,101,297
S005,札幌支店,D006,化粧品,2025-01-09,103878,64,303
S005,札幌支店,D007,文具,2025-01-09,143521,115,284
S005,札幌支店,D008,家電,2025-01-09,196829,107,365
S005,札幌支店,D009,玩具,2025-01-09,96330,50,250
S005,札幌支店,D010,雑貨,2025-01-09,191659,69,315
S001,東京本店,D001,食品,2025-01-10,61692,83,299
S001,東京本店,D002,飲料,2025-01-10,228142,78,416
S001,東京本店,D003,菓子,2025-01-10,122015,120,243
S001,東京本店,D004,日用品,2025-01-10,132725,122,282
S001,東京本店,D005,衣類,2025-01-10,76629,101,243
S001,東京本店,D006,化粧品,2025-01-10,151858,109,284
S001,東京本店,D007,文具,2025-01-10,143912,114,323
S001,東京本店,D008,家電,2025-01-10,160289,147,324
S001,東京本店,D009,玩具,2025-01-10,213560,74,301
S001,東京本店,D010,雑貨,2025-01-10,121456,96,257
S002,大阪支店,D001,食品,2025-01-10,155462,103,345
S002,大阪支店,D002,飲料,2025-01-10,207027,90,471
S002,大阪支店,D003,菓子,2025-01-10,199386,101,313
S002,大阪支店,D004,日用品,2025-01-10,141640,102,289
S002,大阪支店,D005,衣類,2025-01-10,119473,87,245
S002,大阪支店,D006,化粧品,2025-01-10,137661,69,308
